ID,COUNTRY,TITLE,LOGO,STREAMURL,DESC,STATUS,GENRES
id-1,Radio,Waar Radio,https://live-tv-channels.org/pt-data/uploads/logo/iq-waar-tv-5556-300x225.jpg,https://c2.radioboss.fm:18564/stream,Waar Radio,1,Kurdi
id-2,Radio,Rudaw News Radio,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/rudaw.png,http://audiostreaming.itworkscdn.com:9006/;*.nsv,Rudaw News Radio,1,Kurdi
id-3,Radio,Rudaw Tv,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/rudaw.png,https://svs.itworkscdn.net/rudawlive/rudawtv_audio/chunks.m3u8,Rudaw Tv,1,Tv Audio
id-4,Radio,Kurdistan 24 Tv Audio,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/k24.png,https://d1x82nydcxndze.cloudfront.net/live/index.m3u8,Kurdistan 24 Tv Audio,1,Kurdi
id-5,Radio,Kurdistan 24 Radio,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/k24.png,https://streams.radiomast.io/04b1ce4c-24f2-4172-b756-065832ef78bf,Kurdistan 24 Radio,1,Kurdi
id-6,Radio,DAWAT RADIO,https://tools.zenoradio.com/content/stations/agxzfnplbm8tc3RhdHNyMgsSCkF1dGhDbGllbnQYgIDgxbLu1wkMCxIOU3RhdGlvblByb2ZpbGUYgIDgzaz70wgMogEEemVubw/image/?resize=380x380,http://stream.zeno.fm/5u7ntxrr7mzuv,DAWAT RADIO,1,Artist
id-7,Radio,Dawet FM,https://images.zeno.fm/a7kQbqtTM9AXPunZtOksgve5d804ptG0clD7VY1hAVQ/rs:fit:240:240/g:ce:0:0/aHR0cHM6Ly9wcm94eS56ZW5vLmZtL2NvbnRlbnQvc3RhdGlvbnMvYWd4emZucGxibTh0YzNSaGRITnlNZ3NTQ2tGMWRHaERiR2xsYm5RWWdJQ3duTm5CalFvTUN4SU9VM1JoZEdsdmJsQnliMlpwYkdVWWdJQ3c3STJ1b3drTW9nRUVlbVZ1YncvaW1hZ2UvP3Jlc2l6ZT0yNDB4MjQwJnVwZGF0ZWQ9MTY1NzEzNzUyMjAwMA.webp,http://stream.zeno.fm/vg1qmu7d0s8uv,Dawet FM,1,Artist
id-8,Radio,Kurd fm,http://kurdfm.com/images/logo-picuk.jpg,http://radio.kurdfm.com:4747/;,Kurd fm,1,Kurdi
id-9,Radio,KURDmix - Your Hit Station,https://cdn-profiles.tunein.com/s183817/images/logog.png,http://217.20.116.68:32000/,KURDmix - Your Hit Station,1,Kurdi
id-10,Radio,Rebaz FM,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/rebazfm.jpg,http://rasti.out.airtime.pro:8000/rasti_a,Rebaz FM,1,Kurdi
id-11,Radio,Denge Zelal radyo,https://i.ibb.co/dKjQDSw/photostudio-1594559338135.jpg,https://ssl120.radyotelekom.com.tr/8546/stream,Denge Zelal radyo,1,Kurdi
id-12,Radio,Denge Cudi,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/Denge-Cudi.jpg,https://denge-cudi.stream.laut.fm/denge-cudi,Denge Cudi,1,Kurdi
